iso_alpha3,year,hisi_score,cluster_raw,cluster_label
BDI,2011,47.925924565951085,2,The Falls
BDI,2012,50.0120423814433,2,The Falls
BDI,2013,46.78766384788825,2,The Falls
BDI,2014,46.06570382765336,2,The Falls
BDI,2015,50.19050985531277,2,The Falls
BDI,2016,41.70539539867795,2,The Falls
BDI,2017,45.44534036049911,2,The Falls
BDI,2018,45.61766794077295,2,The Falls
BDI,2019,47.010065314320585,2,The Falls
BDI,2020,47.18457808903625,2,The Falls
BDI,2021,45.9731142088725,2,The Falls
BDI,2022,45.79184562021042,2,The Falls
BDI,2023,45.61024597706446,2,The Falls
BDI,2024,44.57526283113157,2,The Falls
BDI,2025,43.961618083935434,2,The Falls
BEL,2000,42.76007575739463,0,The Wins
BEL,2001,74.16388668449997,0,The Wins
BEL,2002,74.73461241212627,0,The Wins
BEL,2003,88.3308105769928,0,The Wins
BEL,2004,81.51540876549332,0,The Wins
BEL,2005,84.21521756563115,0,The Wins
BEL,2006,86.99246756306721,0,The Wins
BEL,2007,84.05633616249007,0,The Wins
BEL,2008,87.80833076301272,0,The Wins
BEL,2009,89.15875101165555,0,The Wins
BEL,2010,88.31200091975226,0,The Wins
BEL,2011,89.3502792135052,0,The Wins
BEL,2012,92.0904846718636,0,The Wins
BEL,2013,92.15103821875081,0,The Wins
BEL,2014,88.0599595122299,0,The Wins
BEL,2015,88.98031597248169,0,The Wins
BEL,2016,87.57522642293505,0,The Wins
BEL,2017,86.8013796204928,0,The Wins
BEL,2018,87.57685809482554,0,The Wins
BEL,2019,86.98948544950173,0,The Wins
BEL,2020,93.16388415736844,0,The Wins
BEL,2021,87.96551710385948,0,The Wins
BEL,2022,89.17441858970379,0,The Wins
BEL,2023,88.44567764972567,0,The Wins
BEL,2024,89.14353346274825,0,The Wins
BEL,2025,88.89157619616076,0,The Wins
BEN,2000,31.616886960650604,2,The Falls
BEN,2001,37.72417064286536,2,The Falls
BEN,2002,37.088937922744186,2,The Falls
BEN,2003,37.26521994094188,2,The Falls
BEN,2004,37.63589520358628,2,The Falls
BEN,2005,37.11029181678772,2,The Falls
BEN,2006,36.52956687338056,2,The Falls
BEN,2007,41.32375885673815,2,The Falls
BEN,2008,31.09538290534723,2,The Falls
BEN,2009,32.136516545704666,2,The Falls
BEN,2010,32.61179002282015,2,The Falls
BEN,2011,32.28839206220804,2,The Falls
BEN,2012,31.990590550057952,2,The Falls
BEN,2013,31.11852608376028,2,The Falls
BEN,2014,30.95445883583731,2,The Falls
BEN,2015,29.104947875088193,2,The Falls
BEN,2016,29.60187016013971,2,The Falls
BEN,2017,29.84914371007709,2,The Falls
BEN,2018,37.498628938322064,2,The Falls
BEN,2019,36.22368353847044,2,The Falls
BEN,2020,35.900374453233404,2,The Falls
BEN,2021,39.13498819807031,2,The Falls
BEN,2022,40.11056220850781,2,The Falls
BEN,2023,40.46396341786101,2,The Falls
BEN,2024,39.309524022678005,2,The Falls
BEN,2025,38.48480151551754,2,The Falls
BFA,2000,30.911329998123804,2,The Falls
BFA,2001,38.55015455544021,2,The Falls
BFA,2002,39.58922382249136,2,The Falls
BFA,2003,39.57750534679857,2,The Falls
BFA,2004,40.669722962616866,2,The Falls
BFA,2005,39.05059252693158,2,The Falls
BFA,2006,38.44675629561235,2,The Falls
BFA,2007,40.59020383470632,2,The Falls
BFA,2008,38.36530269317775,2,The Falls
BFA,2009,38.46306662541509,2,The Falls
BFA,2010,36.7502720149997,2,The Falls
BFA,2011,35.48411313341878,2,The Falls
BFA,2012,34.38276148119538,2,The Falls
BFA,2013,41.746228490409834,2,The Falls
BFA,2014,42.782101745588186,2,The Falls
