iso_alpha3,avg_hisi,cluster,n_years
ARB,29.613647153436958,The Falls,26
BWA,29.478895672528008,The Falls,26
OMN,29.36732431864346,The Adapters,26
TEC,29.26601079639037,The Adapters,26
SST,29.23325328142102,The Adapters,26
PNG,29.025419466875153,The Falls,26
TEA,28.877780531545476,The Adapters,26
MYS,28.845574057178574,The Adapters,26
EAP,28.745715719108013,The Adapters,26
TUR,28.738081702002578,The Adapters,26
ZMB,28.631025806622745,The Falls,26
CSS,28.06810713335699,The Adapters,26
CAF,28.04002977349249,The Falls,26
LCN,27.949462612051384,The Adapters,26
TLA,27.722972023763585,The Adapters,26
SAU,26.85879570067233,The Adapters,26
LAC,26.551454517575415,The Adapters,26
BHR,25.809543880388485,The Adapters,26
BRN,25.37115465494654,The Adapters,26
CIV,25.001047465379717,The Falls,26
PAN,24.916088035618948,The Adapters,26
TJK,23.301197518711206,The Falls,26
MEX,23.195104006384266,The Adapters,26
GAB,21.981307878536224,The Adapters,26
VEN,21.466173578217216,The Adapters,26
QAT,19.45472863811768,The Adapters,26
