iso_alpha3,year,comp_A_raw,comp_B_raw,comp_C_raw,comp_A_norm,comp_B_norm,comp_C_norm,hisi_raw,hisi_score,ai_exposure_proxy,digital_human_capital,social_buffer_index,tech_vulnerability_index,economic_resilience,gini_index,labor_income_share_pct,cluster_raw,cluster_label
IRN,2004,0.8165366972477064,11.29294562570068,15.119302591309687,0.24808643013619297,0.15544113004171808,0.27111354064393073,0.1525331562499444,28.87041688017988,18.29883603473464,38.916,11.29294562570068,17.375604860274176,3.3603462444603496,43.6,35.601,2,The Falls
IRN,2005,0.8123394495412843,11.31025874519897,16.141731569718374,0.24635345799277952,0.15574345408813442,0.2912751979295222,0.1489144106663186,28.30430359744083,19.828570137616584,41.716,11.31025874519897,18.593567475165276,3.4414872199329456,43.6,35.418,2,The Falls
IRN,2006,0.7872321428571429,11.600158448272712,14.752916525284338,0.23598707837377764,0.16080572211538427,0.2638886375421854,0.14795465701341895,28.154160604929196,17.715956881199617,36.878,11.600158448272712,16.725262856446054,3.49933816788861,44.8,35.268,2,The Falls
IRN,2007,0.7020758928571429,11.46476566762451,14.42782967800219,0.20082751205565047,0.15844147497291133,0.2574781290947848,0.127623812968282,24.97362176977953,17.23080689735138,35.69,11.46476566762451,16.267242944844593,3.58132836660772,44.8,31.453,2,The Falls
IRN,2008,0.7277678571428572,10.82227587040344,17.07646975985699,0.21143528684782986,0.14722223078665864,0.3097076479473813,0.12366470325545456,24.354262230829253,21.333386348493903,45.036,10.82227587040344,19.95424692122282,3.635500579556791,44.8,32.604,2,The Falls
IRN,2009,0.8423040380047505,12.19851517348816,16.97066437254449,0.2587253265905234,0.1712543085983362,0.30762123216397497,0.15833838838621167,29.778582139598775,21.44360732834868,43.724,12.19851517348816,20.859097479792556,3.628894634809371,42.1,35.461,2,The Falls
IRN,2010,0.8227790973871735,12.03636479307312,17.323323343153252,0.25066381091197726,0.16842281661101033,0.31457544556583855,0.15190411105618296,28.77200961959686,22.06189507701788,44.87200000000001,12.03636479307312,21.47853444739137,3.689050155798882,42.1,34.639,2,The Falls
IRN,2011,1.0520172910662824,11.61424518277344,17.929746669013706,0.3453123595893592,0.16105170658834267,0.32653373266859304,0.20345670032956487,36.83685001050681,23.14501729017746,45.5,11.61424518277344,22.53301674299059,3.77878128180804,34.7,36.505,2,The Falls
IRN,2012,1.1049127906976746,11.11551976128113,15.654201120230693,0.3671520111383695,0.15234289547598695,0.28166140367443415,0.21973197173165163,39.38293873323839,19.25119914317372,38.324,11.11551976128113,18.684540096394404,3.7917719827579672,34.4,38.009,2,The Falls
IRN,2013,1.08,10.76440357726379,18.085554887659335,0.3568659438596376,0.14621165693605365,0.3296061728800402,0.20559115265522634,37.17076179982898,23.45885157573361,47.866,10.76440357726379,22.905199219694723,3.7750556990017214,34.0,36.72,2,The Falls
