iso_alpha3,year,employment_share_agriculture,employment_share_industry,employment_share_services,employment_to_pop_ratio,gdp_growth_pct,gdp_per_capita_usd,gdp_per_person_employed,gini_index,govt_expenditure_pct_gdp,inflation_cpi_pct,labor_force_participation,rd_expenditure_pct_gdp,trade_openness_pct_gdp,unemployment_rate
SVN,2010,8.86284667448002,28.7103517974679,62.426801528052,55.066,1.11213719306735,23329.8417691156,80489.3360720305,24.9,47.3581596491482,1.80117022137134,59.362,2.06914,128.606575425363,7.236
SVN,2011,8.62777916962063,27.8482524080362,63.524075031583,53.408,0.655438128379743,24940.6284841605,83493.7131464177,24.9,48.809028972781,1.8028517194191,58.157,2.4311,140.332355750319,8.166
SVN,2012,8.40340216613357,27.1981138898754,64.3983759935489,52.717,-2.91553782040462,22442.1417859955,82088.5667454461,25.6,47.4901246961825,2.59741386039003,57.83,2.58339,143.656448572975,8.841
SVN,2013,8.51907031526394,27.2550480246287,64.2259915311407,51.806,-0.823776417691676,23236.9655321695,82873.0383454105,26.2,54.5726819204219,1.76920085881907,57.628,2.59426,145.168789432403,10.103
SVN,2014,9.65236952413338,27.1651157569377,63.1825147189289,52.259,2.76283327639742,24013.0682060959,84477.2037786599,25.7,47.5336371357467,0.19934382657075,57.853,2.38854,146.471705096746,9.668
SVN,2015,7.09904155438421,28.1470160132271,64.753833728111,52.43,2.39330621338168,20697.2748530619,86272.1318122614,25.4,46.7222084667928,-0.525552285820877,57.591,2.21611,147.218367714503,8.962
SVN,2016,5.04580804341924,29.2150977379996,65.7392032464127,52.296,3.03441486663654,21447.8377796036,89150.6084512669,24.8,44.6747700849883,-0.054999541670474,56.843,2.02922,148.238448080388,8.0
SVN,2017,5.58675414089525,29.290830953029,65.1224149060758,54.708,5.17440215579958,23303.077705959,89672.8783585794,24.2,42.2981039649573,1.42910743319306,58.552,1.88219,158.70213584467,6.564
SVN,2018,5.50396366773558,29.3988979864242,65.0971383458402,55.935,4.37908347331195,25888.0481065655,91292.691318931,24.6,41.1450376558141,1.7386086198818,58.945,1.96365,162.613493975851,5.108
SVN,2019,4.29981767378506,30.1027776623529,65.597404663862,55.787,3.50525332381912,25814.1687167572,94110.0935501887,24.4,40.7895004063214,1.63052260754344,58.383,2.05725,160.044275685249,4.446
